"","GEOID","NAME","variable","estimate","moe","concept","label"
"83","23003","Aroostook County, Maine","B08602_013",342,111,"TIME ARRIVING AT WORK FROM HOME FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!11 00 a.m. to 11 59 a.m."
"84","23003","Aroostook County, Maine","B08602_014",1944,257,"TIME ARRIVING AT WORK FROM HOME FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!12 00 p.m. to 3 59 p.m."
"85","23003","Aroostook County, Maine","B08602_015",1781,256,"TIME ARRIVING AT WORK FROM HOME FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!4 00 p.m. to 11 59 p.m."
"86","23003","Aroostook County, Maine","B08603_001",27702,600,"TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total"
"87","23003","Aroostook County, Maine","B08603_002",3085,376,"TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!Less than 5 minutes"
"88","23003","Aroostook County, Maine","B08603_003",6235,468,"TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!5 to 9 minutes"
"89","23003","Aroostook County, Maine","B08603_004",4608,310,"TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!10 to 14 minutes"
"90","23003","Aroostook County, Maine","B08603_005",4114,333,"TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!15 to 19 minutes"
"91","23003","Aroostook County, Maine","B08603_006",3042,319,"TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!20 to 24 minutes"
"92","23003","Aroostook County, Maine","B08603_007",1293,191,"TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!25 to 29 minutes"
"93","23003","Aroostook County, Maine","B08603_008",2641,247,"TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!30 to 34 minutes"
"94","23003","Aroostook County, Maine","B08603_009",296,67,"TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!35 to 39 minutes"
"95","23003","Aroostook County, Maine","B08603_010",412,87,"TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!40 to 44 minutes"
"96","23003","Aroostook County, Maine","B08603_011",914,161,"TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!45 to 59 minutes"
"97","23003","Aroostook County, Maine","B08603_012",676,128,"TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!60 to 89 minutes"
"98","23003","Aroostook County, Maine","B08603_013",386,102,"TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!90 or more minutes"
"99","23005","Cumberland County, Maine","B08601_001",187069,2187,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total"
"100","23005","Cumberland County, Maine","B08601_002",162151,2050,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!Car, truck, or van"
"101","23005","Cumberland County, Maine","B08601_003",147425,2031,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!Car, truck, or van!!Drove alone"
"102","23005","Cumberland County, Maine","B08601_004",14726,1029,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!Car, truck, or van!!Carpooled"
"103","23005","Cumberland County, Maine","B08601_005",12800,940,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool"
"104","23005","Cumberland County, Maine","B08601_006",1351,275,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool"
"105","23005","Cumberland County, Maine","B08601_007",319,99,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool"
